id,name,reasson,group_name,group_description
48,integration with imdb and apple tv,user would like the ability to link their imdb or apple tv account for live recommendations.,cluster 2,"netflix,imdb,tv,apple,integration"
49,wdyt confusion,user did not initially understand the meaning of wdyt.,cluster -1,"mood,category,wdyt,genre,like"
50,sharing recommendations,user wanted to share a movie recommendation with a friend and had to use a screenshot.,cluster 4,"movie,platform,recommendation,ability,sport"
51,thumbs down interaction,"user expected a new recommendation after clicking thumbs down, but had to click twice.",cluster -1,"mood,category,wdyt,genre,like"
52,description visibility,user found it annoying to open a new window to read the full description of a recommendation.,cluster 1,"home,button,preference,text,app"
53,feedback on dislikes,user wants to provide more information on why they disliked a recommendation.,cluster 1,"home,button,preference,text,app"
54,login issue,copy from message feature not working for invite code,cluster 5,"code,sms,login,phone,number"
55,invite code editing,difficulty in editing the invite code,cluster 8,"assistant,chat,letterboxd,chatbot,support"
56,text display,"texts not showing correctly (tv-show, movie)",cluster 4,"movie,platform,recommendation,ability,sport"
57,chat button,clicking the chat button did nothing,cluster 8,"assistant,chat,letterboxd,chatbot,support"
58,wdyt meaning,user did not understand the meaning of wdyt initially.,cluster -1,"mood,category,wdyt,genre,like"
59,responding to wdyt,user was unsure how to respond to the wdyt question.,cluster -1,"mood,category,wdyt,genre,like"
60,saving movie history,user forgot to save a movie and lost their history.,cluster 4,"movie,platform,recommendation,ability,sport"
61,sharing movie recommendations,user wanted to share a movie recommendation with a friend but had to use a screenshot.,cluster 4,"movie,platform,recommendation,ability,sport"
62,thumbs down interaction,user expected a new movie recommendation after clicking thumbs down but had to click twice.,cluster 4,"movie,platform,recommendation,ability,sport"
63,content recommendation,user stopped watching a recommended show due to its political correctness.,cluster 6,"engine,smart,content,similar,recommendation"
64,include ratings from rotten tomatoes and imdb,user requests integration of rotten tomatoes and imdb ratings in the netflix app.,cluster 2,"netflix,imdb,tv,apple,integration"
65,create your own rating system,user suggests the ability to create and submit their own ratings for content.,cluster 8,"assistant,chat,letterboxd,chatbot,support"
66,recommend and share content with friends,user wants the ability to recommend and share content with friends through the netflix app.,cluster 2,"netflix,imdb,tv,apple,integration"
67,add 'kids' as a category or mood,user requests a separate 'kids' category or mood for more age-appropriate content suggestions.,cluster -1,"mood,category,wdyt,genre,like"
68,login issue with finnish or danish phone number,can't log in with finnish or danish phone number,cluster 5,"code,sms,login,phone,number"
69,sms 2fa auto-fetch issue,the app can only fetch the first number of the sms 2fa automatically,cluster -1,"mood,category,wdyt,genre,like"
70,app error message,received 'oops something went wrong' error message,cluster 1,"home,button,preference,text,app"
71,movie recommendation feedback,"wants option to say 'i've seen this before, recommend something similar'",cluster 4,"movie,platform,recommendation,ability,sport"
72,thumbs up button issue,thumbs up button didn't work,cluster -1,"mood,category,wdyt,genre,like"
73,smooth and fast user experience,wants a smoother and faster user experience,cluster 0,"speed,fast,loading,experience,algorithm"
74,login issues,user is having trouble logging in and not receiving sms code for authentication. user is based in denmark.,cluster 5,"code,sms,login,phone,number"
75,improve recommendation system,user wants a way to inform the system about seen and unseen content to get better recommendations.,cluster 6,"engine,smart,content,similar,recommendation"
76,mood-based chat improvement,user suggests combining mood and genre in a clearer way.,cluster -1,"mood,category,wdyt,genre,like"
77,sms verification code issue,user could not paste the verification code in the form.,cluster 5,"code,sms,login,phone,number"
78,more flexibility in recommendations,user wants more flexibility in recommendations and the ability to ask for specific categories.,cluster 10,"flexibility,library,variation,customization,recommendation"
79,saving recommendations in chat,user suggests the ability to save recommendations directly in the chat.,cluster 8,"assistant,chat,letterboxd,chatbot,support"
80,app integration with tv and streaming services,user would like the app to be integrated with their tv and streaming services.,cluster 2,"netflix,imdb,tv,apple,integration"
81,more titles and suggestions,user wants more titles and suggestions in their desired categories.,cluster 9,"category,special,theme,title,link"
82,improve show descriptions,user had to visit imdb to understand the show's plot as the netflix description was not informative.,cluster 2,"netflix,imdb,tv,apple,integration"
83,more categories,user would like more categories to choose from.,cluster 9,"category,special,theme,title,link"
84,expand recommendations,increase the number of titles available in the service.,cluster 10,"flexibility,library,variation,customization,recommendation"
85,richer content descriptions,provide more detailed information about each title.,cluster 0,"speed,fast,loading,experience,algorithm"
86,title twins,recommend similar titles based on user preferences.,cluster -1,"mood,category,wdyt,genre,like"
87,mood-based recommendations,suggest titles based on user's mood and timing.,cluster -1,"mood,category,wdyt,genre,like"
88,profile matching,connect multiple profiles to find common title preferences.,cluster 7,"profile,content,choice,common,friend"
89,ai chat assistant,implement an ai assistant that learns from user's prompts and history.,cluster 8,"assistant,chat,letterboxd,chatbot,support"
90,no pictures in the app,user mentioned the absence of pictures in the app.,cluster -1,"mood,category,wdyt,genre,like"
91,sports preferences,"user suggests improving sports recommendations by filtering out sports they don't like, such as f1.",cluster 4,"movie,platform,recommendation,ability,sport"
92,training the algorithm,user is unsure if giving feedback is training the algorithm.,cluster 1,"home,button,preference,text,app"
93,more feedback options,"user suggests more feedback options, such as liked or didn't like.",cluster 9,"category,special,theme,title,link"
94,preference settings issue,"user unable to change preferences, receiving unwanted adventure recommendations.",cluster 1,"home,button,preference,text,app"
95,poor recommendations,user did not find any good recommendations and had to rely on external sources.,cluster 1,"home,button,preference,text,app"
96,issue with sms-code input,user got stuck after receiving the sms-code and couldn't write the code in.,cluster 5,"code,sms,login,phone,number"
97,report bugs,user wants to know how to report bugs and duplicates in movie recommendations.,cluster 3,"movie,tab,app,delete,switching"
98,remove movie from recommendations,user wants the ability to remove a specific movie/series from their recommendations.,cluster 4,"movie,platform,recommendation,ability,sport"
99,ai learning user behavior,user wants the ai to learn more about their behavior and suggest content based on that.,cluster -1,"mood,category,wdyt,genre,like"
100,delete movies from saved tab,user wants the ability to delete movies from the saved tab.,cluster 3,"movie,tab,app,delete,switching"
101,recommendation explanation text,user suggests changing the font and reducing the repetitive text in recommendation explanations.,cluster 1,"home,button,preference,text,app"
102,user retention and engagement,user suggests adding features like 'more from this actor' to improve user retention and engagement.,cluster -1,"mood,category,wdyt,genre,like"
103,chatbot response icons,"user suggests adding explanations for the thumbs up, thumbs down, and eyes icons in the chatbot response field.",cluster 8,"assistant,chat,letterboxd,chatbot,support"
104,feedback loop for watched movies,user suggests adding pre-set responses for users to choose when they don't want to write a full evaluation.,cluster 4,"movie,platform,recommendation,ability,sport"
105,flag watched shows/movies,add the ability to flag already watched shows and movies.,cluster 4,"movie,platform,recommendation,ability,sport"
106,category for specials,include a category for special episodes or events.,cluster 9,"category,special,theme,title,link"
107,repetitive recommendations,user gets the same 3 recommendations repeatedly.,cluster -1,"mood,category,wdyt,genre,like"
108,mismatched content,user gets movies when asking for tv-shows.,cluster 4,"movie,platform,recommendation,ability,sport"
109,description sentiment,user was put off by the description sentiment of a movie.,cluster 4,"movie,platform,recommendation,ability,sport"
110,additional mood categories,user suggests adding 'hungover' and 'wind down after work' mood categories.,cluster -1,"mood,category,wdyt,genre,like"
111,mismatched mood,user asked for 'tense' and got a non-tense recommendation.,cluster 1,"home,button,preference,text,app"
112,long recommendation process,user had to ask for another one 56 times before getting a good recommendation.,cluster 0,"speed,fast,loading,experience,algorithm"
113,error message in mood categories,user encountered an error message in all mood categories.,cluster -1,"mood,category,wdyt,genre,like"
114,history tab and mood filtering,user suggests implementing a history tab and improving mood filtering.,cluster -1,"mood,category,wdyt,genre,like"
115,increased variation,user wants more variation in recommendations.,cluster 10,"flexibility,library,variation,customization,recommendation"
116,algorithm customization,user wants to easily adapt the algorithm for recommendations.,cluster 0,"speed,fast,loading,experience,algorithm"
117,platform availability,user found a movie on a platform they don't subscribe to.,cluster 4,"movie,platform,recommendation,ability,sport"
118,tv shows vs movies,user is getting more tv shows than movies they haven't seen.,cluster 4,"movie,platform,recommendation,ability,sport"
119,login issue,"login is not working with the provided code, user gets stuck and cannot move forward.",cluster -1,"mood,category,wdyt,genre,like"
120,duplicate mood categories,duplicate mood categories are present in the app.,cluster -1,"mood,category,wdyt,genre,like"
121,repeated recommendations,the same recommendations are shown multiple times.,cluster -1,"mood,category,wdyt,genre,like"
122,duplicate recommendations in same session,duplicate recommendations appear quickly within the same session.,cluster -1,"mood,category,wdyt,genre,like"
123,persistent recommendations,"movies like pinocchio, street tunes, everything everywhere, and dredd are suggested repeatedly.",cluster -1,"mood,category,wdyt,genre,like"
124,family friendly category issue,pinocchio and good night oppy appear multiple times in a row in the family friendly category.,cluster -1,"mood,category,wdyt,genre,like"
125,switching between tv show and movie,unable to switch back to tv show from movie without restarting the app.,cluster 3,"movie,tab,app,delete,switching"
126,filter by genre,"allow users to filter movie suggestions by genre, such as thriller.",cluster 4,"movie,platform,recommendation,ability,sport"
127,customization options,"add options to choose a category, set minimum rating, and other preferences.",cluster -1,"mood,category,wdyt,genre,like"
128,loading speed,improve loading speed for a better user experience.,cluster 0,"speed,fast,loading,experience,algorithm"
129,interactive chat,integrate an interactive chat feature for better user engagement.,cluster -1,"mood,category,wdyt,genre,like"
130,more movie suggestions,provide more movie suggestions for users to choose from.,cluster 4,"movie,platform,recommendation,ability,sport"
131,okko link,"i got an okko link, what's that?",cluster 9,"category,special,theme,title,link"
132,video clips flow,it would be nice to have a flow of video clips; some people may just want to watch them without starting a movie.,cluster 4,"movie,platform,recommendation,ability,sport"
133,app usage while waiting,"mostly to hang out in the app while waiting for the bus, for example.",cluster -1,"mood,category,wdyt,genre,like"
134,tiktok-like feature,"like a tiktok, for those who don't feel like reading.",cluster -1,"mood,category,wdyt,genre,like"
135,more content,more content that can be helpful in inspiring people on what to watch.,cluster 7,"profile,content,choice,common,friend"
136,login issue,"couldn't log in, american flag missing so couldn't add phone number.",cluster 5,"code,sms,login,phone,number"
137,app stickiness,"app not as sticky in user's life as desired, possibly due to user's limited tv consumption.",cluster 1,"home,button,preference,text,app"
138,design affordance,"chat prompt defaults look similar to content tags, causing confusion in user interaction.",cluster 6,"engine,smart,content,similar,recommendation"
139,confusing start,"user found it confusing to start using the app, especially with the chat feature.",cluster 1,"home,button,preference,text,app"
140,menu simplification,"suggestion to join profile, bookmark, or home menus to make navigation easier.",cluster 0,"speed,fast,loading,experience,algorithm"
141,ui issues on ipad,"text size is bigger than buttons or tags, making it hard to read on ipad.",cluster -1,"mood,category,wdyt,genre,like"
142,inconsistent logo,"the mark logo is different in different sections, causing confusion.",cluster 1,"home,button,preference,text,app"
143,missing film year,films do not display the release year.,cluster 4,"movie,platform,recommendation,ability,sport"
144,multiple attempts for recommendations,user needed 2-3 attempts to find a movie they liked due to generic recommendations.,cluster 4,"movie,platform,recommendation,ability,sport"
145,image sizing issue,film images do not fit properly in the designated image box.,cluster 0,"speed,fast,loading,experience,algorithm"
146,chat options clarity,"when chat offers too many options, it becomes hard to read.",cluster 0,"speed,fast,loading,experience,algorithm"
147,confusing emoji,"the eyes emoji is confusing, and user had to click to understand it meant 'i watched'.",cluster 1,"home,button,preference,text,app"
148,login issues,user is having trouble logging in and not receiving sms with the code.,cluster 5,"code,sms,login,phone,number"
149,sms delivery problem,user based in denmark is not receiving a response sms with the code.,cluster 5,"code,sms,login,phone,number"
150,suggestion for improvement,user suggests providing safe cards initially and allowing exploration of more genres later.,cluster -1,"mood,category,wdyt,genre,like"
151,inaccurate recommendations,received 3 war movies in a row when picking 'for the couples',cluster 1,"home,button,preference,text,app"
152,navigation issues,couldn't go back to the previous mood,cluster -1,"mood,category,wdyt,genre,like"
153,adjust interests/genres,add a way to adjust interests/genres inside the app,cluster -1,"mood,category,wdyt,genre,like"
154,home button confusion,user doesn't understand the purpose of the home button,cluster 1,"home,button,preference,text,app"
155,mark movies as seen,add the ability to mark movies as seen and clear bookmarks,cluster -1,"mood,category,wdyt,genre,like"
156,unavailable movie,user tried to watch a movie that was no longer available,cluster 3,"movie,tab,app,delete,switching"
157,hbo max issues,user can't find suggested movies on hbo max,cluster -1,"mood,category,wdyt,genre,like"
158,incorrect poster,user received a weird picture as a movie poster,cluster 1,"home,button,preference,text,app"
159,technical issues,were there any technical issues or bugs?,cluster 9,"category,special,theme,title,link"
160,netflixs repetition,netflixs keep appearing in the app even after being seen.,cluster 2,"netflix,imdb,tv,apple,integration"
161,bookmark disappearing,"bookmark disappears after adding a movie, should stay and be filled in.",cluster 4,"movie,platform,recommendation,ability,sport"
162,like button issue,like button not working properly.,cluster -1,"mood,category,wdyt,genre,like"
163,play icon expectation,"expected a trailer when clicking play icon, not opening hbo/netflix.",cluster 2,"netflix,imdb,tv,apple,integration"
164,categorize saved items,allow saved items to be categorized with actionable titles.,cluster -1,"mood,category,wdyt,genre,like"
165,navigation indicator,add visual indication of the active tab in the bottom navigation.,cluster 8,"assistant,chat,letterboxd,chatbot,support"
166,alternative platform options,show options to rent a movie from another platform if available.,cluster 4,"movie,platform,recommendation,ability,sport"
167,home screen text,shorter and snappier text on the home screen.,cluster 1,"home,button,preference,text,app"
168,mark as viewed,add a function to mark movies and shows as viewed.,cluster 4,"movie,platform,recommendation,ability,sport"
169,post-watch feedback,allow users to give feedback on a movie after watching it.,cluster 4,"movie,platform,recommendation,ability,sport"
