id,name,reasson,group_name,group_description
99,ai learning user behavior,user wants the ai to learn more about their behavior and suggest content based on that.,cluster 4,cluster 4 - account alternative button behavior 2fa clear actively command age affordance
100,delete movies from saved tab,user wants the ability to delete movies from the saved tab.,cluster 12,cluster 12 - auto age actionable appropriate card chatbot bookmark active ability big
101,recommendation explanation text,user suggests changing the font and reducing the repetitive text in recommendation explanations.,cluster 14,cluster 14 - case categorize adventure accuracy clarity app chatbot common chat available
102,user retention and engagement,user suggests adding features like 'more from this actor' to improve user retention and engagement.,cluster 7,cluster 7 - big authentication click behavior card affordance annoying chatbot clarity auto
103,chatbot response icons,"user suggests adding explanations for the thumbs up, thumbs down, and eyes icons in the chatbot response field.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
104,feedback loop for watched movies,user suggests adding pre-set responses for users to choose when they don't want to write a full evaluation.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
105,flag watched shows/movies,add the ability to flag already watched shows and movies.,cluster 12,cluster 12 - auto age actionable appropriate card chatbot bookmark active ability big
106,category for specials,include a category for special episodes or events.,cluster 3,cluster 3 - additional alternative apple clarity category authentication advice assistant attempt command
107,repetitive recommendations,user gets the same 3 recommendations repeatedly.,cluster 11,cluster 11 - american actively big bookmark account additional common ai appropriate apple
108,mismatched content,user gets movies when asking for tv-shows.,cluster 8,cluster 8 - code advice button clarity assistant categorize bus appropriate availability big
109,description sentiment,user was put off by the description sentiment of a movie.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
110,additional mood categories,user suggests adding 'hungover' and 'wind down after work' mood categories.,cluster 10,cluster 10 - command appropriate ability bubble clip box bookmark ai category advice
111,mismatched mood,user asked for 'tense' and got a non-tense recommendation.,cluster 10,cluster 10 - command appropriate ability bubble clip box bookmark ai category advice
112,long recommendation process,user had to ask for another one 56 times before getting a good recommendation.,cluster 11,cluster 11 - american actively big bookmark account additional common ai appropriate apple
113,error message in mood categories,user encountered an error message in all mood categories.,cluster 10,cluster 10 - command appropriate ability bubble clip box bookmark ai category advice
114,history tab and mood filtering,user suggests implementing a history tab and improving mood filtering.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
115,increased variation,user wants more variation in recommendations.,cluster 11,cluster 11 - american actively big bookmark account additional common ai appropriate apple
116,algorithm customization,user wants to easily adapt the algorithm for recommendations.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
117,platform availability,user found a movie on a platform they don't subscribe to.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
118,tv shows vs movies,user is getting more tv shows than movies they haven't seen.,cluster 8,cluster 8 - code advice button clarity assistant categorize bus appropriate availability big
119,login issue,"login is not working with the provided code, user gets stuck and cannot move forward.",cluster 5,cluster 5 - actor clear availability behavior button choice apple clip account age
120,duplicate mood categories,duplicate mood categories are present in the app.,cluster 10,cluster 10 - command appropriate ability bubble clip box bookmark ai category advice
121,repeated recommendations,the same recommendations are shown multiple times.,cluster 11,cluster 11 - american actively big bookmark account additional common ai appropriate apple
122,duplicate recommendations in same session,duplicate recommendations appear quickly within the same session.,cluster 2,cluster 2 - active authentication adventure behavior 2fa affordance code auto clear advice
123,persistent recommendations,"movies like pinocchio, street tunes, everything everywhere, and dredd are suggested repeatedly.",cluster 7,cluster 7 - big authentication click behavior card affordance annoying chatbot clarity auto
124,family friendly category issue,pinocchio and good night oppy appear multiple times in a row in the family friendly category.,cluster 3,cluster 3 - additional alternative apple clarity category authentication advice assistant attempt command
125,switching between tv show and movie,unable to switch back to tv show from movie without restarting the app.,cluster 8,cluster 8 - code advice button clarity assistant categorize bus appropriate availability big
126,filter by genre,"allow users to filter movie suggestions by genre, such as thriller.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
127,customization options,"add options to choose a category, set minimum rating, and other preferences.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
128,loading speed,improve loading speed for a better user experience.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
129,interactive chat,integrate an interactive chat feature for better user engagement.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
130,more movie suggestions,provide more movie suggestions for users to choose from.,cluster 12,cluster 12 - auto age actionable appropriate card chatbot bookmark active ability big
131,okko link,"i got an okko link, what's that?",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
132,video clips flow,it would be nice to have a flow of video clips; some people may just want to watch them without starting a movie.,cluster 12,cluster 12 - auto age actionable appropriate card chatbot bookmark active ability big
133,app usage while waiting,"mostly to hang out in the app while waiting for the bus, for example.",cluster 1,cluster 1 - bookmark 2fa available accuracy card choice click annoying clarity alternative
134,tiktok-like feature,"like a tiktok, for those who don't feel like reading.",cluster 7,cluster 7 - big authentication click behavior card affordance annoying chatbot clarity auto
135,more content,more content that can be helpful in inspiring people on what to watch.,cluster 4,cluster 4 - account alternative button behavior 2fa clear actively command age affordance
136,login issue,"couldn't log in, american flag missing so couldn't add phone number.",cluster 5,cluster 5 - actor clear availability behavior button choice apple clip account age
137,app stickiness,"app not as sticky in user's life as desired, possibly due to user's limited tv consumption.",cluster 1,cluster 1 - bookmark 2fa available accuracy card choice click annoying clarity alternative
138,design affordance,"chat prompt defaults look similar to content tags, causing confusion in user interaction.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
139,confusing start,"user found it confusing to start using the app, especially with the chat feature.",cluster 1,cluster 1 - bookmark 2fa available accuracy card choice click annoying clarity alternative
140,menu simplification,"suggestion to join profile, bookmark, or home menus to make navigation easier.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
141,ui issues on ipad,"text size is bigger than buttons or tags, making it hard to read on ipad.",cluster 6,cluster 6 - actionable app clip behavior accuracy categorize actively auto available common
142,inconsistent logo,"the mark logo is different in different sections, causing confusion.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
143,missing film year,films do not display the release year.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
144,multiple attempts for recommendations,user needed 2-3 attempts to find a movie they liked due to generic recommendations.,cluster 2,cluster 2 - active authentication adventure behavior 2fa affordance code auto clear advice
145,image sizing issue,film images do not fit properly in the designated image box.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
146,chat options clarity,"when chat offers too many options, it becomes hard to read.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
147,confusing emoji,"the eyes emoji is confusing, and user had to click to understand it meant 'i watched'.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
148,login issues,user is having trouble logging in and not receiving sms with the code.,cluster 5,cluster 5 - actor clear availability behavior button choice apple clip account age
149,sms delivery problem,user based in denmark is not receiving a response sms with the code.,cluster 5,cluster 5 - actor clear availability behavior button choice apple clip account age
150,suggestion for improvement,user suggests providing safe cards initially and allowing exploration of more genres later.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
151,inaccurate recommendations,received 3 war movies in a row when picking 'for the couples',cluster 2,cluster 2 - active authentication adventure behavior 2fa affordance code auto clear advice
152,navigation issues,couldn't go back to the previous mood,cluster 10,cluster 10 - command appropriate ability bubble clip box bookmark ai category advice
153,adjust interests/genres,add a way to adjust interests/genres inside the app,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
154,home button confusion,user doesn't understand the purpose of the home button,cluster 6,cluster 6 - actionable app clip behavior accuracy categorize actively auto available common
155,mark movies as seen,add the ability to mark movies as seen and clear bookmarks,cluster 12,cluster 12 - auto age actionable appropriate card chatbot bookmark active ability big
156,unavailable movie,user tried to watch a movie that was no longer available,cluster 12,cluster 12 - auto age actionable appropriate card chatbot bookmark active ability big
157,hbo max issues,user can't find suggested movies on hbo max,cluster 12,cluster 12 - auto age actionable appropriate card chatbot bookmark active ability big
158,incorrect poster,user received a weird picture as a movie poster,cluster 12,cluster 12 - auto age actionable appropriate card chatbot bookmark active ability big
159,technical issues,were there any technical issues or bugs?,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
160,netflixs repetition,netflixs keep appearing in the app even after being seen.,cluster 1,cluster 1 - bookmark 2fa available accuracy card choice click annoying clarity alternative
161,bookmark disappearing,"bookmark disappears after adding a movie, should stay and be filled in.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
162,like button issue,like button not working properly.,cluster 6,cluster 6 - actionable app clip behavior accuracy categorize actively auto available common
163,play icon expectation,"expected a trailer when clicking play icon, not opening hbo/netflix.",cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
164,categorize saved items,allow saved items to be categorized with actionable titles.,cluster 13,cluster 13 - chat bubble card adventure assistant advice appropriate 2fa apple absence
165,navigation indicator,add visual indication of the active tab in the bottom navigation.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
166,alternative platform options,show options to rent a movie from another platform if available.,cluster 0,cluster 0 - chatbot 2fa alternative affordance absence assistant bus clip attempt clarity
167,home screen text,shorter and snappier text on the home screen.,cluster 14,cluster 14 - case categorize adventure accuracy clarity app chatbot common chat available
168,mark as viewed,add a function to mark movies and shows as viewed.,cluster 12,cluster 12 - auto age actionable appropriate card chatbot bookmark active ability big
169,post-watch feedback,allow users to give feedback on a movie after watching it.,cluster 12,cluster 12 - auto age actionable appropriate card chatbot bookmark active ability big
